圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源頁碼,來源模式,編號方式,信心,需複核,複核原因,OCR修正
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,3,立面圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-立面圖,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,4,無障道欄杆扶手詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-無障道欄杆扶手詳圖,13,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,5,剖面詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-剖面詳圖,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,6-7,扶壁式扶手詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-扶壁式扶手詳圖,13,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,8,樓梯扶手詳圖(RC,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-樓梯扶手詳圖(RC,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,5,安全爬側立面圖,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-安全爬側立面圖,14,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,1,室內玻璃欄杆立面示意圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-室內玻璃欄杆立面示意圖,15,circle_left_title,circle_ocr,medium_circle,否,,攔杆->欄杆
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,4-5,室內玻璃欄杆剖面詳圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-室內玻璃欄杆剖面詳圖,15,circle_left_title,circle_ocr,medium_circle,否,,攔杆->欄杆
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,6,"不鏽鋼欄杆剖面A,B詳圖","ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-不鏽鋼欄杆剖面A,B詳圖",15,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09011,輕隔間詳圖(二),1,排水溝蓋,ARB-D09011-輕隔間詳圖(二)-排水溝蓋,17,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09011,輕隔間詳圖(二),2,複壁牆剖面詳圖,ARB-D09011-輕隔間詳圖(二)-複壁牆剖面詳圖,17,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09011,輕隔間詳圖(二),3,檢俢門框接頭份詳圖,ARB-D09011-輕隔間詳圖(二)-檢俢門框接頭份詳圖,17,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09012,輕隔間詳圖(三),1,管道牆電氣開關盒按裝示意圖,ARB-D09012-輕隔間詳圖(三)-管道牆電氣開關盒按裝示意圖,18,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09012,輕隔間詳圖(三),2,門框補強示意圖,ARB-D09012-輕隔間詳圖(三)-門框補強示意圖,18,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09012,輕隔間詳圖(三),3,吊掛補強示意圖,ARB-D09012-輕隔間詳圖(三)-吊掛補強示意圖,18,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09012,輕隔間詳圖(三),5,接縫處理示意圖,ARB-D09012-輕隔間詳圖(三)-接縫處理示意圖,18,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09012,輕隔間詳圖(三),6,骨架橫向補強示意圖,ARB-D09012-輕隔間詳圖(三)-骨架橫向補強示意圖,18,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09014,岩棉庫板詳圖(一),2,岩棉庫板施工大樣圖,ARB-D09014-岩棉庫板詳圖(一)-岩棉庫板施工大樣圖,20,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09014,岩棉庫板詳圖(一),3,棉庫板施工大樣圖,ARB-D09014-岩棉庫板詳圖(一)-棉庫板施工大樣圖,20,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,2,高架地板安裝組合詳圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-高架地板安裝組合詳圖,22,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,3,牆角收邊剖面圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-牆角收邊剖面圖,22,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,5,桁詳圖、聯接座及螺帽,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-桁詳圖、聯接座及螺帽,22,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,6,斜坡示意圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-斜坡示意圖,22,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09018,礦纖及鋁企口天花板詳圖,1,c架防潮礦纖天花平面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮礦纖天花平面圖,24,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09018,礦纖及鋁企口天花板詳圖,2,c架防潮吸音礦纖天花剖面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花剖面圖,24,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09018,礦纖及鋁企口天花板詳圖,3,c架防潮吸音礦纖天花燈具收頭圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花燈具收頭圖,24,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09018,礦纖及鋁企口天花板詳圖,"4,6","C3,c企口天花板安裝示意圖","ARB-D09018-礦纖及鋁企口天花板詳圖-C3,c企口天花板安裝示意圖",24,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09018,礦纖及鋁企口天花板詳圖,5,"C3,c企口板平面示意圖","ARB-D09018-礦纖及鋁企口天花板詳圖-C3,c企口板平面示意圖",24,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09018,礦纖及鋁企口天花板詳圖,8,c架矽酸鈣板造型天花板(含收邊板)剖面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架矽酸鈣板造型天花板(含收邊板)剖面圖,24,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09019,C7金屬障板天花詳圖,1,平面示意圖,ARB-D09019-C7金屬障板天花詳圖-平面示意圖,25,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09019,C7金屬障板天花詳圖,1,組裝大樣圖,ARB-D09019-C7金屬障板天花詳圖-組裝大樣圖,25,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09019,C7金屬障板天花詳圖,3,A-A詳剖圖,ARB-D09019-C7金屬障板天花詳圖-A-A詳剖圖,25,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09019,C7金屬障板天花詳圖,4,詳剖圖,ARB-D09019-C7金屬障板天花詳圖-詳剖圖,25,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09020,暗架矽酸鈣板天花板詳圖,1,牆邊收頭及施工斷面圖,ARB-D09020-暗架矽酸鈣板天花板詳圖-牆邊收頭及施工斷面圖,26,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09020,暗架矽酸鈣板天花板詳圖,2,檢修孔開孔剖面示意圖,ARB-D09020-暗架矽酸鈣板天花板詳圖-檢修孔開孔剖面示意圖,26,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09020,暗架矽酸鈣板天花板詳圖,5,天花板安裝示意圖,ARB-D09020-暗架矽酸鈣板天花板詳圖-天花板安裝示意圖,26,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09021,暗架吸音石膏板天花板,1,暗架組合式吸音天花剖面圖,ARB-D09021-暗架吸音石膏板天花板-暗架組合式吸音天花剖面圖,27,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09021,暗架吸音石膏板天花板,2,齒夾式骨架詳圖,ARB-D09021-暗架吸音石膏板天花板-齒夾式骨架詳圖,27,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09022,廁所隔間詳圖,1,廁所隔間標準詳圖,ARB-D09022-廁所隔間詳圖-廁所隔間標準詳圖,28,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09022,廁所隔間詳圖,2,五金配置及鋁合金腳柱大樣圖,ARB-D09022-廁所隔間詳圖-五金配置及鋁合金腳柱大樣圖,28,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09022,廁所隔間詳圖,3,小便斗隔屏詳圖,ARB-D09022-廁所隔間詳圖-小便斗隔屏詳圖,28,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,隔屛->隔屏
ARB-D09024,指標系統詳圖(一),1,A·立地式停車場出入口標示,ARB-D09024-指標系統詳圖(一)-A·立地式停車場出入口標示,30,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09024,指標系統詳圖(一),2,底座收邊框仃=18m),ARB-D09024-指標系統詳圖(一)-底座收邊框仃=18m),30,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09024,指標系統詳圖(一),3,c·貼壁式科室空間標示,ARB-D09024-指標系統詳圖(一)-c·貼壁式科室空間標示,30,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09025,指標系統詳圖(二),2,E吊式無障礙專用車位標示,ARB-D09025-指標系統詳圖(二)-E吊式無障礙專用車位標示,31,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09025,指標系統詳圖(二),4,G·貼壁式方向引導標示,ARB-D09025-指標系統詳圖(二)-G·貼壁式方向引導標示,31,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09026,指標系統詳圖(三),1,H•貼壁式上下樓層標示,ARB-D09026-指標系統詳圖(三)-H•貼壁式上下樓層標示,32,red_box_annotation,nearby_number,high_red_box,否,,
ARB-D09026,指標系統詳圖(三),2,I1·懸臂式無障礙電梯/樓梯標示,ARB-D09026-指標系統詳圖(三)-I1·懸臂式無障礙電梯/樓梯標示,32,red_box_annotation,nearby_number,high_red_box,否,,Ⅰ1->I1
ARB-D09026,指標系統詳圖(三),3,I2•懸臂式服務空間標示,ARB-D09026-指標系統詳圖(三)-I2•懸臂式服務空間標示,32,red_box_annotation,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判；紅框附近未讀到詳圖編號，使用版面順序補判,Ⅰ2->I2
ARB-D09026,指標系統詳圖(三),4,J1·貼壁式服務空間標示,ARB-D09026-指標系統詳圖(三)-J1·貼壁式服務空間標示,32,red_box_annotation,nearby_number,high_red_box,否,,JI->J1
ARB-D09026,指標系統詳圖(三),5,J2·貼壁式無障礙電梯/樓梯標示,ARB-D09026-指標系統詳圖(三)-J2·貼壁式無障礙電梯/樓梯標示,32,red_box_annotation,nearby_number,high_red_box,否,,
ARB-D09026,指標系統詳圖(三),6,K號標示,ARB-D09026-指標系統詳圖(三)-K號標示,32,red_box_annotation,nearby_number,high_red_box,否,,
ARB-D09026,指標系統詳圖(三),7,L壁式各樓層緊急逃生圖標示,ARB-D09026-指標系統詳圖(三)-L壁式各樓層緊急逃生圖標示,32,red_box_annotation,nearby_number,high_red_box,否,,棸急->緊急
ARB-D09027,指標系統詳圖(四),1,M·立地式無障礙設施標示,ARB-D09027-指標系統詳圖(四)-M·立地式無障礙設施標示,33,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09027,指標系統詳圖(四),2,N·貼壁式服務空間標示(哺集乳室),ARB-D09027-指標系統詳圖(四)-N·貼壁式服務空間標示(哺集乳室),33,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09028,FRP水箱詳圖(一),1,RC基座圖,ARB-D09028-FRP水箱詳圖(一)-RC基座圖,34,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09028,FRP水箱詳圖(一),4,基座圖,ARB-D09028-FRP水箱詳圖(一)-基座圖,34,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09029,FRP水箱詳圖(二),"1,4",RC基座圖,ARB-D09029-FRP水箱詳圖(二)-RC基座圖,35,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09030,防水閘門詳圖,1,防水閘門開平面圖,ARB-D09030-防水閘門詳圖-防水閘門開平面圖,36,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09030,防水閘門詳圖,2,防水閘門關閉平面圖,ARB-D09030-防水閘門詳圖-防水閘門關閉平面圖,36,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09030,防水閘門詳圖,3,防水閘門正立面圖,ARB-D09030-防水閘門詳圖-防水閘門正立面圖,36,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09030,防水閘門詳圖,5,防水閘門關閉剖面圖,ARB-D09030-防水閘門詳圖-防水閘門關閉剖面圖,36,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09030,防水閘門詳圖,6,防水閘門鏈側詳圖,ARB-D09030-防水閘門詳圖-防水閘門鏈側詳圖,36,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09030,防水閘門詳圖,7,拖架詳圖,ARB-D09030-防水閘門詳圖-拖架詳圖,36,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09031,防水閘板詳圖,1,防水閘門立面示意圖一單片式,ARB-D09031-防水閘板詳圖-防水閘門立面示意圖一單片式,37,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09031,防水閘板詳圖,3,A一A剖面示意圖,ARB-D09031-防水閘板詳圖-A一A剖面示意圖,37,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09031,防水閘板詳圖,4,詳圖H地面固定法大樣),ARB-D09031-防水閘板詳圖-詳圖H地面固定法大樣),37,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,哋面->地面；灻樣->大樣
ARB-D09031,防水閘板詳圖,"5,7",防水閘門板,ARB-D09031-防水閘板詳圖-防水閘門板,37,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09031,防水閘板詳圖,6,(D一D)詳圖支撐柱(外拉式),ARB-D09031-防水閘板詳圖-(D一D)詳圖支撐柱(外拉式),37,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09031,防水閘板詳圖,"8,10",底框詳圖,ARB-D09031-防水閘板詳圖-底框詳圖,37,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09031,防水閘板詳圖,9,邊框大樣圖之詳圖A,ARB-D09031-防水閘板詳圖-邊框大樣圖之詳圖A,37,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09031,防水閘板詳圖,11,未使用中示意圖,ARB-D09031-防水閘板詳圖-未使用中示意圖,37,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09031,防水閘板詳圖,12,詳圖Ⅰ,ARB-D09031-防水閘板詳圖-詳圖Ⅰ,37,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09032,防煙捲簾及捲門詳圖,1,防煙捲幕(簾)立面詳圖,ARB-D09032-防煙捲簾及捲門詳圖-防煙捲幕(簾)立面詳圖,38,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09032,防煙捲簾及捲門詳圖,2,防煙捲幕(簾)平面詳圖,ARB-D09032-防煙捲簾及捲門詳圖-防煙捲幕(簾)平面詳圖,38,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09032,防煙捲簾及捲門詳圖,3,不鏽鋼捲門立面圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼捲門立面圖,38,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09032,防煙捲簾及捲門詳圖,4,不鏽鋼鐵捲門剖面圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門剖面圖,38,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09032,防煙捲簾及捲門詳圖,5,不鏽鋼鐵捲門與隔間詳圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門與隔間詳圖,38,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09032,防煙捲簾及捲門詳圖,6,不鏽鋼鐵捲門機電系統操作圖,ARB-D09032-防煙捲簾及捲門詳圖-不鏽鋼鐵捲門機電系統操作圖,38,circle_left_title,circle_ocr,medium_circle,否,,
