圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,信心,需複核,PDF頁碼,來源
ARB-D09002,施工大樣詳圖(二),9,地坪覆面層、防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地坪覆面層、防水層詳圖,medium,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),10,鋅格板板詳1,ARB-D09002-施工大樣詳圖(二)-鋅格板板詳1,low,是,8,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),1,排水溝蓋版詳圖1,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-排水溝蓋版詳圖1,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),2,井蓋板詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-井蓋板詳圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),4,暗溝詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-暗溝詳圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),5,地板排水溝平·剖面圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-地板排水溝平·剖面圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),6,屋頂通風道剖面圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-屋頂通風道剖面圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),7,基座邊溝詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-基座邊溝詳圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),8,犬走及排水明溝加蓋詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-犬走及排水明溝加蓋詳圖,medium,否,9,ocr_v2_preview
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),9,水泥涵管埋設詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-水泥涵管埋設詳圖,medium,否,9,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),1,水箱防水示意圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱防水示意圖,existing,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),2,水箱洩水口詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱洩水口詳圖,existing,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),3,污、廢水(集水)池泵浦人孔蓋標準詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-污、廢水(集水)池泵浦人孔蓋標準詳圖,medium,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),4,污水坑人孔蓋板詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-污水坑人孔蓋板詳圖,medium,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),5,集水坑剖面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-集水坑剖面詳圖,medium,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),6,水箱防水詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱防水詳圖,existing,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),7-8,水箱人孔蓋剖面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱人孔蓋剖面詳圖,existing,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),9,人孔蓋平面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-人孔蓋平面詳圖,existing,否,10,ocr_v2_preview
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),10,框防水詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-框防水詳圖,medium,否,10,ocr_v2_preview
ARB-D09005,停車場設施詳圖,1,框座錨錠詳圖,ARB-D09005-停車場設施詳圖-框座錨錠詳圖,medium,否,11,ocr_v2_preview
ARB-D09005,停車場設施詳圖,2,地下室外防水詳圖,ARB-D09005-停車場設施詳圖-地下室外防水詳圖,medium,否,11,ocr_v2_preview
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,1,車擋詳圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-車擋詳圖,medium,否,12,ocr_v2_preview
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,2,停車空間名種指示圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-停車空間名種指示圖,low,是,12,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,1,剖面詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-剖面詳圖,medium,否,13,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,2,踏步及扶手詳圖(鋼構樓梯,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-踏步及扶手詳圖(鋼構樓梯,medium,否,13,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,3,樓梯扶手詳圖(RC,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-樓梯扶手詳圖(RC,medium,否,13,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,4,無障道欄杆扶手詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-無障道欄杆扶手詳圖,medium,否,13,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,6,扶壁式扶手詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-扶壁式扶手詳圖,medium,否,13,ocr_v2_preview
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,8,機坑及水箱內立面圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-機坑及水箱內立面圖,medium,否,13,ocr_v2_preview
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,1,扶壁式圓管烤杆阝圖1,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-扶壁式圓管烤杆阝圖1,low,是,14,ocr_v2_preview
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,2,扶壁式圓管烤干扶手固定細部圖2,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-扶壁式圓管烤干扶手固定細部圖2,medium,否,14,ocr_v2_preview
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,5,安全爬側立面圖,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-安全爬側立面圖,medium,否,14,ocr_v2_preview
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,6,安全爬梯剖面圖,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-安全爬梯剖面圖,medium,否,14,ocr_v2_preview
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,1,室內玻璃欄杆立面示意圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-室內玻璃欄杆立面示意圖,medium,否,15,ocr_v2_preview
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,2,欄杆固定詳圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-欄杆固定詳圖,medium,否,15,ocr_v2_preview
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,4-5,室內玻璃欄杆剖面詳圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-室內玻璃欄杆剖面詳圖,medium,否,15,ocr_v2_preview
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,6,"不鏽鋼欄杆剖面A,B詳圖","ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-不鏽鋼欄杆剖面A,B詳圖",medium,否,15,ocr_v2_preview
ARB-D09011,輕隔間詳圖(二),1,依圖說厚度m纖維水泥板,ARB-D09011-輕隔間詳圖(二)-依圖說厚度m纖維水泥板,low_note_like,是,17,ocr_v2_preview
ARB-D09011,輕隔間詳圖(二),2,複壁牆剖面詳圖,ARB-D09011-輕隔間詳圖(二)-複壁牆剖面詳圖,existing,否,17,ocr_v2_preview
ARB-D09011,輕隔間詳圖(二),3,依圖說厚度1m土0·m纖維水泥板(複壁使用),ARB-D09011-輕隔間詳圖(二)-依圖說厚度1m土0·m纖維水泥板(複壁使用),low_note_like,是,17,ocr_v2_preview
ARB-D09011,輕隔間詳圖(二),4,防潮複壁牆剖面詳圖,ARB-D09011-輕隔間詳圖(二)-防潮複壁牆剖面詳圖,existing,否,17,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),1,管道牆電氣開關盒按裝示意圖,ARB-D09012-輕隔間詳圖(三)-管道牆電氣開關盒按裝示意圖,existing,否,18,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),2,門框補強示意圖,ARB-D09012-輕隔間詳圖(三)-門框補強示意圖,existing,否,18,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),3,吊掛補強示意圖,ARB-D09012-輕隔間詳圖(三)-吊掛補強示意圖,medium,否,18,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),4,門框封板示意圖,ARB-D09012-輕隔間詳圖(三)-門框封板示意圖,existing,否,18,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),5,接縫處理示意圖,ARB-D09012-輕隔間詳圖(三)-接縫處理示意圖,existing,否,18,ocr_v2_preview
ARB-D09012,輕隔間詳圖(三),6,骨架橫向補強示意圖,ARB-D09012-輕隔間詳圖(三)-骨架橫向補強示意圖,existing,否,18,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),1,3接縫詳圖,ARB-D09013-輕隔間詳圖(四)-3接縫詳圖,medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),2,灌漿牆立面圖(樓板底),ARB-D09013-輕隔間詳圖(四)-灌漿牆立面圖(樓板底),medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),3,防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。,ARB-D09013-輕隔間詳圖(四)-防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。,low_note_like,是,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),4,木水泥板(面飾材打板)詳圖,ARB-D09013-輕隔間詳圖(四)-木水泥板(面飾材打板)詳圖,medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),5,T型轉角圖,ARB-D09013-輕隔間詳圖(四)-T型轉角圖,low,是,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),6,L型轉角圖,ARB-D09013-輕隔間詳圖(四)-L型轉角圖,low,是,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),7,木門框按裝詳圖,ARB-D09013-輕隔間詳圖(四)-木門框按裝詳圖,medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),8,電氣開關按裝詳圖(非輕隔間工程),ARB-D09013-輕隔間詳圖(四)-電氣開關按裝詳圖(非輕隔間工程),medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),9,門框上緣接縫詳圖,ARB-D09013-輕隔間詳圖(四)-門框上緣接縫詳圖,medium,否,19,ocr_v2_preview
ARB-D09013,輕隔間詳圖(四),10,輕隔間圖(四),ARB-D09013-輕隔間詳圖(四)-輕隔間圖(四),low,是,19,ocr_v2_preview
ARB-D09014,岩棉庫板詳圖(一),1,棉庫板施工大樣圖,ARB-D09014-岩棉庫板詳圖(一)-棉庫板施工大樣圖,medium,否,20,ocr_v2_preview
ARB-D09014,岩棉庫板詳圖(一),4,庫板窗戶型收邊斷面圖,ARB-D09014-岩棉庫板詳圖(一)-庫板窗戶型收邊斷面圖,existing,否,20,ocr_v2_preview
ARB-D09014,岩棉庫板詳圖(一),5,庫板開口型收邊斷面圖,ARB-D09014-岩棉庫板詳圖(一)-庫板開口型收邊斷面圖,existing,否,20,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,1,高架地板安裝透視圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-高架地板安裝透視圖,existing,否,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,2,高架地板安裝組合詳圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-高架地板安裝組合詳圖,existing,否,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,3,牆角收邊剖面圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-牆角收邊剖面圖,medium,否,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,4,"2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採","ARB-D09016-鋁合金高架地板及防颱百葉詳圖-2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採",low_note_like,是,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,5,桁詳圖、聯接座及螺帽,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-桁詳圖、聯接座及螺帽,existing,否,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,6-7,斜坡示意圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-斜坡示意圖,existing,否,22,ocr_v2_preview
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,8,用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣,low_note_like,是,22,ocr_v2_preview
ARB-D09018,礦纖及鋁企口天花板詳圖,1,c架防潮礦纖天花平面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮礦纖天花平面圖,existing,否,24,ocr_v2_preview
ARB-D09018,礦纖及鋁企口天花板詳圖,2,c架防潮吸音礦纖天花剖面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花剖面圖,existing,否,24,ocr_v2_preview
ARB-D09018,礦纖及鋁企口天花板詳圖,3,c架防潮吸音礦纖天花燈具收頭圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花燈具收頭圖,medium,否,24,ocr_v2_preview
ARB-D09018,礦纖及鋁企口天花板詳圖,4-5,"C3,C9鋁企口天花板安裝示意圖","ARB-D09018-礦纖及鋁企口天花板詳圖-C3,C9鋁企口天花板安裝示意圖",high_correction,否,24,ocr_v2_preview
ARB-D09018,礦纖及鋁企口天花板詳圖,8,c架矽酸鈣板造型天花板(含收邊板)剖面圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架矽酸鈣板造型天花板(含收邊板)剖面圖,existing,否,24,ocr_v2_preview
ARB-D09019,C7金屬障板天花詳圖,1,平面示意圖,ARB-D09019-C7金屬障板天花詳圖-平面示意圖,existing,否,25,ocr_v2_preview
ARB-D09019,C7金屬障板天花詳圖,2,組裝大樣圖,ARB-D09019-C7金屬障板天花詳圖-組裝大樣圖,medium,否,25,ocr_v2_preview
ARB-D09019,C7金屬障板天花詳圖,3,A-A詳剖圖,ARB-D09019-C7金屬障板天花詳圖-A-A詳剖圖,medium,否,25,ocr_v2_preview
ARB-D09020,暗架矽酸鈣板天花板詳圖,1,牆邊收頭及施工斷面圖,ARB-D09020-暗架矽酸鈣板天花板詳圖-牆邊收頭及施工斷面圖,existing,否,26,ocr_v2_preview
ARB-D09020,暗架矽酸鈣板天花板詳圖,5,天花板安裝示意圖,ARB-D09020-暗架矽酸鈣板天花板詳圖-天花板安裝示意圖,existing,否,26,ocr_v2_preview
ARB-D09021,暗架吸音石膏板天花板,1,暗架組合式吸音天花剖面圖,ARB-D09021-暗架吸音石膏板天花板-暗架組合式吸音天花剖面圖,existing,否,27,ocr_v2_preview
ARB-D09021,暗架吸音石膏板天花板,2,齒夾式骨架詳圖,ARB-D09021-暗架吸音石膏板天花板-齒夾式骨架詳圖,existing,否,27,ocr_v2_preview
ARB-D09021,暗架吸音石膏板天花板,6,蓋夾式骨架詳圖,ARB-D09021-暗架吸音石膏板天花板-蓋夾式骨架詳圖,existing,否,27,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,1,側向立面圖,ARB-D09022-廁所隔間詳圖-側向立面圖,medium,否,28,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,2,五金配置及鋁合金腳柱大樣圖,ARB-D09022-廁所隔間詳圖-五金配置及鋁合金腳柱大樣圖,existing,否,28,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,3,背向立面圖,ARB-D09022-廁所隔間詳圖-背向立面圖,medium,否,28,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,4,設備背箱面板詳圖(下部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(下部),medium,否,28,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,5,設備背箱面板詳圖(上部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(上部),medium,否,28,ocr_v2_preview
ARB-D09022,廁所隔間詳圖,6,小便斗隔屏詳圖,ARB-D09022-廁所隔間詳圖-小便斗隔屏詳圖,medium,否,28,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),1,鋁合金接頭(詳圖A),ARB-D09024-指標系統詳圖(一)-鋁合金接頭(詳圖A),medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),"2,8-9",圖文內容面貼彩色光輸出,ARB-D09024-指標系統詳圖(一)-圖文內容面貼彩色光輸出,low,是,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),3,結構横剖面詳圖(雙面),ARB-D09024-指標系統詳圖(一)-結構横剖面詳圖(雙面),medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),4,詳圖A:鋁金接頭,ARB-D09024-指標系統詳圖(一)-詳圖A:鋁金接頭,medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),5-6,圖文以膠膜切割貼附,ARB-D09024-指標系統詳圖(一)-圖文以膠膜切割貼附,low,是,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),7,鋁合金接頭(詳圖A》,ARB-D09024-指標系統詳圖(一)-鋁合金接頭(詳圖A》,medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),10,結構橫剖面詳圖(單面),ARB-D09024-指標系統詳圖(一)-結構橫剖面詳圖(單面),medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),11,結構横剖面詳圖,ARB-D09024-指標系統詳圖(一)-結構横剖面詳圖,medium,否,30,ocr_v2_preview
ARB-D09024,指標系統詳圖(一),12,基座結構詳圖,ARB-D09024-指標系統詳圖(一)-基座結構詳圖,medium,否,30,ocr_v2_preview
ARB-D09025,指標系統詳圖(二),1,"文字圖案電腦切割鏤空處理,","ARB-D09025-指標系統詳圖(二)-文字圖案電腦切割鏤空處理,",low,是,31,ocr_v2_preview
ARB-D09025,指標系統詳圖(二),2,可掀式維修門框詳圖,ARB-D09025-指標系統詳圖(二)-可掀式維修門框詳圖,medium,否,31,ocr_v2_preview
ARB-D09025,指標系統詳圖(二),3,結構横剖面詳圖,ARB-D09025-指標系統詳圖(二)-結構横剖面詳圖,medium,否,31,ocr_v2_preview
ARB-D09025,指標系統詳圖(二),4,圖文以彩色反光貼貼附,ARB-D09025-指標系統詳圖(二)-圖文以彩色反光貼貼附,low,是,31,ocr_v2_preview
ARB-D09025,指標系統詳圖(二),5,組合結構圖,ARB-D09025-指標系統詳圖(二)-組合結構圖,medium,否,31,ocr_v2_preview
ARB-D09026,指標系統詳圖(三),1,圖文以膠膜電腦切割貼附,ARB-D09026-指標系統詳圖(三)-圖文以膠膜電腦切割貼附,low,是,32,ocr_v2_preview
ARB-D09026,指標系統詳圖(三),2,組合結構圖,ARB-D09026-指標系統詳圖(三)-組合結構圖,medium,否,32,ocr_v2_preview
ARB-D09026,指標系統詳圖(三),3,圖文以膠電腦切割貼附,ARB-D09026-指標系統詳圖(三)-圖文以膠電腦切割貼附,low,是,32,ocr_v2_preview
ARB-D09026,指標系統詳圖(三),4,圖文以電腦噴晝出,ARB-D09026-指標系統詳圖(三)-圖文以電腦噴晝出,low,是,32,ocr_v2_preview
ARB-D09026,指標系統詳圖(三),7,L壁式各樓層棸急逃生圖標示,ARB-D09026-指標系統詳圖(三)-L壁式各樓層棸急逃生圖標示,low,是,32,ocr_v2_preview
ARB-D09027,指標系統詳圖(四),1,圖文以白色反光貼紙貼附,ARB-D09027-指標系統詳圖(四)-圖文以白色反光貼紙貼附,low,是,33,ocr_v2_preview
ARB-D09027,指標系統詳圖(四),2,(1)安裝之確實位置依圖面現場監工人員之指示辦理。,ARB-D09027-指標系統詳圖(四)-(1)安裝之確實位置依圖面現場監工人員之指示辦理。,low_note_like,是,33,ocr_v2_preview
ARB-D09027,指標系統詳圖(四),3,圖文以彩色輸出,ARB-D09027-指標系統詳圖(四)-圖文以彩色輸出,low,是,33,ocr_v2_preview
ARB-D09027,指標系統詳圖(四),4,LED燈組安裝示意圖(背光),ARB-D09027-指標系統詳圖(四)-LED燈組安裝示意圖(背光),medium,否,33,ocr_v2_preview
ARB-D09028,FRP水箱詳圖(一),1,基礎座剖面圖(屬建築工程),ARB-D09028-FRP水箱詳圖(一)-基礎座剖面圖(屬建築工程),medium,否,34,ocr_v2_preview
ARB-D09028,FRP水箱詳圖(一),2,基礎精度圖,ARB-D09028-FRP水箱詳圖(一)-基礎精度圖,low,是,34,ocr_v2_preview
ARB-D09028,FRP水箱詳圖(一),3,RC基座圖,ARB-D09028-FRP水箱詳圖(一)-RC基座圖,medium,否,34,ocr_v2_preview
