圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源模式,需複核,複核原因
ARB-D09001,施工大樣詳圖(一),5,浴廁貼磁磚牆面(RC)及防水層詳圖,ARB-D09001-施工大樣詳圖(一)-浴廁貼磁磚牆面(RC)及防水層詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),6,水泥漆牆面詳圖,ARB-D09001-施工大樣詳圖(一)-水泥漆牆面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),7,面磚牆面詳圖,ARB-D09001-施工大樣詳圖(一)-面磚牆面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),8,屋頂地坪防水隔熱收邊詳圖,ARB-D09001-施工大樣詳圖(一)-屋頂地坪防水隔熱收邊詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),9,浴廁貼磁磚牆面(輕隔間)及防水層詳圖,ARB-D09001-施工大樣詳圖(一)-浴廁貼磁磚牆面(輕隔間)及防水層詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),10,室內外地坪交界面填縫詳圖,ARB-D09001-施工大樣詳圖(一)-室內外地坪交界面填縫詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),11,面磚類牆面及轉角詳圖,ARB-D09001-施工大樣詳圖(一)-面磚類牆面及轉角詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09002,施工大樣詳圖(二),3,加強型改質瀝靑防水氈t=25m,ARB-D09002-施工大樣詳圖(二)-加強型改質瀝靑防水氈t=25m,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09002,施工大樣詳圖(二),"4,8",地下室頂版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室頂版防水層詳圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09002,施工大樣詳圖(二),7,屋頂高腰式落水罩詳圖,ARB-D09002-施工大樣詳圖(二)-屋頂高腰式落水罩詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09002,施工大樣詳圖(二),9,地坪覆面層、防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地坪覆面層、防水層詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09002,施工大樣詳圖(二),10,鋅格板板詳1,ARB-D09002-施工大樣詳圖(二)-鋅格板板詳1,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),1,m扁鋼邊框,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-m扁鋼邊框,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),3,井詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-井詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),"4,9",結構圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-結構圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),10,不銹鋼排水溝深度依現況竇際,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-不銹鋼排水溝深度依現況竇際,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"2,11",水箱洩水口詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱洩水口詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),3,污、廢水(集水)池泵浦人孔蓋標準詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-污、廢水(集水)池泵浦人孔蓋標準詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"6,10",8預埋排水管,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-8預埋排水管,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"7-8,12",水箱人孔蓋剖面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱人孔蓋剖面詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),13,框防水詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-框防水詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09005,停車場設施詳圖,1,T:依結構圖為準(至少2m厚),ARB-D09005-停車場設施詳圖-T:依結構圖為準(至少2m厚),circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09005,停車場設施詳圖,2,框座錨錠詳圖,ARB-D09005-停車場設施詳圖-框座錨錠詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09005,停車場設施詳圖,3,(底排水溝朝向集水,ARB-D09005-停車場設施詳圖-(底排水溝朝向集水,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09005,停車場設施詳圖,4,(屬排水工程),ARB-D09005-停車場設施詳圖-(屬排水工程),circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09005,停車場設施詳圖,5,地下室外防水詳,ARB-D09005-停車場設施詳圖-地下室外防水詳,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,1,平面圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-平面圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,2,車擋詳圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-車擋詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,3,立面圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-立面圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,5,剖面詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-剖面詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,8,樓梯扶手詳圖(RC,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-樓梯扶手詳圖(RC,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,1,扶壁式圓管烤杆阝圖1,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-扶壁式圓管烤杆阝圖1,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,2,扶壁式圓管烤干扶手固定細部圖2,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-扶壁式圓管烤干扶手固定細部圖2,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09008,樓梯無障礙樓梯扶手立/剖面圖,6,安全爬梯剖面圖,ARB-D09008-樓梯無障礙樓梯扶手立/剖面圖-安全爬梯剖面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09009,玻璃、不鏽鋼扶手及花崗石詳圖,2,欄杆固定詳圖,ARB-D09009-玻璃、不鏽鋼扶手及花崗石詳圖-欄杆固定詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09011,輕隔間詳圖(二),1,排水溝蓋,ARB-D09011-輕隔間詳圖(二)-排水溝蓋,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09011,輕隔間詳圖(二),3,檢俢門框接頭份詳圖,ARB-D09011-輕隔間詳圖(二)-檢俢門框接頭份詳圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09011,輕隔間詳圖(二),4,防潮複壁牆剖面詳圖,ARB-D09011-輕隔間詳圖(二)-防潮複壁牆剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09012,輕隔間詳圖(三),3,吊掛補強示意圖,ARB-D09012-輕隔間詳圖(三)-吊掛補強示意圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09012,輕隔間詳圖(三),4,門框封板示意圖,ARB-D09012-輕隔間詳圖(三)-門框封板示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),1,3接縫詳圖,ARB-D09013-輕隔間詳圖(四)-3接縫詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),2,灌漿牆立面圖(樓板底),ARB-D09013-輕隔間詳圖(四)-灌漿牆立面圖(樓板底),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),3,防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。,ARB-D09013-輕隔間詳圖(四)-防火性:防火區劃依圖說提符合設計寬度之內政防火-小時或以上證明。,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),4,木水泥板(面飾材打板)詳圖,ARB-D09013-輕隔間詳圖(四)-木水泥板(面飾材打板)詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),5,T型轉角圖,ARB-D09013-輕隔間詳圖(四)-T型轉角圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),6,L型轉角圖,ARB-D09013-輕隔間詳圖(四)-L型轉角圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),7,木門框按裝詳圖,ARB-D09013-輕隔間詳圖(四)-木門框按裝詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),8,電氣開關按裝詳圖(非輕隔間工程),ARB-D09013-輕隔間詳圖(四)-電氣開關按裝詳圖(非輕隔間工程),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),9,門框上緣接縫詳圖,ARB-D09013-輕隔間詳圖(四)-門框上緣接縫詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09013,輕隔間詳圖(四),10,輕隔間圖(四),ARB-D09013-輕隔間詳圖(四)-輕隔間圖(四),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09014,岩棉庫板詳圖(一),"1,3",棉庫板施工大樣圖,ARB-D09014-岩棉庫板詳圖(一)-棉庫板施工大樣圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09014,岩棉庫板詳圖(一),4,庫板窗戶型收邊斷面圖,ARB-D09014-岩棉庫板詳圖(一)-庫板窗戶型收邊斷面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09014,岩棉庫板詳圖(一),5,庫板開口型收邊斷面圖,ARB-D09014-岩棉庫板詳圖(一)-庫板開口型收邊斷面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,1,高架地板安裝透視圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-高架地板安裝透視圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,3,牆角收邊剖面圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-牆角收邊剖面圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,4,"2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採","ARB-D09016-鋁合金高架地板及防颱百葉詳圖-2·本圖為表示各種構材組合及裝俢之設計意旨,僅供參考,承商所採",v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,8,用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-用之產品品質不得低於圖示之標準。承商於施工前應繪製施工大樣,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09018,礦纖及鋁企口天花板詳圖,3,c架防潮吸音礦纖天花燈具收頭圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花燈具收頭圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09018,礦纖及鋁企口天花板詳圖,"4,6","C3,c企口天花板安裝示意圖","ARB-D09018-礦纖及鋁企口天花板詳圖-C3,c企口天花板安裝示意圖",circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09019,C7金屬障板天花詳圖,1-2,組裝大樣圖,ARB-D09019-C7金屬障板天花詳圖-組裝大樣圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09019,C7金屬障板天花詳圖,3,A-A詳剖圖,ARB-D09019-C7金屬障板天花詳圖-A-A詳剖圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09021,暗架吸音石膏板天花板,6,蓋夾式骨架詳圖,ARB-D09021-暗架吸音石膏板天花板-蓋夾式骨架詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09022,廁所隔間詳圖,"3,6",小便斗隔屏詳圖,ARB-D09022-廁所隔間詳圖-小便斗隔屏詳圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09022,廁所隔間詳圖,4,設備背箱面板詳圖(下部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(下部),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09022,廁所隔間詳圖,5,設備背箱面板詳圖(上部),ARB-D09022-廁所隔間詳圖-設備背箱面板詳圖(上部),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),2,底座收邊框仃=18m),ARB-D09024-指標系統詳圖(一)-底座收邊框仃=18m),circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09024,指標系統詳圖(一),3,c·貼壁式科室空間標示,ARB-D09024-指標系統詳圖(一)-c·貼壁式科室空間標示,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09024,指標系統詳圖(一),4,詳圖A:鋁金接頭,ARB-D09024-指標系統詳圖(一)-詳圖A:鋁金接頭,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),5-6,圖文以膠膜切割貼附,ARB-D09024-指標系統詳圖(一)-圖文以膠膜切割貼附,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),7,鋁合金接頭(詳圖A》,ARB-D09024-指標系統詳圖(一)-鋁合金接頭(詳圖A》,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),10,結構橫剖面詳圖(單面),ARB-D09024-指標系統詳圖(一)-結構橫剖面詳圖(單面),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),11,結構横剖面詳圖,ARB-D09024-指標系統詳圖(一)-結構横剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09024,指標系統詳圖(一),12,基座結構詳圖,ARB-D09024-指標系統詳圖(一)-基座結構詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),1,"文字圖案電腦切割鏤空處理,","ARB-D09025-指標系統詳圖(二)-文字圖案電腦切割鏤空處理,",v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),3,結構横剖面詳圖,ARB-D09025-指標系統詳圖(二)-結構横剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09025,指標系統詳圖(二),5,組合結構圖,ARB-D09025-指標系統詳圖(二)-組合結構圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09026,指標系統詳圖(三),3,I2•懸臂式服務空間標示,ARB-D09026-指標系統詳圖(三)-I2•懸臂式服務空間標示,red_box_annotation,是,圓圈內數字未被 OCR 讀取，使用版面順序補判；紅框附近未讀到詳圖編號，使用版面順序補判
ARB-D09027,指標系統詳圖(四),3,圖文以彩色輸出,ARB-D09027-指標系統詳圖(四)-圖文以彩色輸出,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09027,指標系統詳圖(四),4,LED燈組安裝示意圖(背光),ARB-D09027-指標系統詳圖(四)-LED燈組安裝示意圖(背光),v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09028,FRP水箱詳圖(一),"1,3",RC基座圖,ARB-D09028-FRP水箱詳圖(一)-RC基座圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09028,FRP水箱詳圖(一),2,基礎精度圖,ARB-D09028-FRP水箱詳圖(一)-基礎精度圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09029,FRP水箱詳圖(二),"1,4",RC基座圖,ARB-D09029-FRP水箱詳圖(二)-RC基座圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09029,FRP水箱詳圖(二),2,基礎精度圖,ARB-D09029-FRP水箱詳圖(二)-基礎精度圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09030,防水閘門詳圖,3,防水閘門正立面圖,ARB-D09030-防水閘門詳圖-防水閘門正立面圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,"2,4",詳圖H地面固定法大樣),ARB-D09031-防水閘板詳圖-詳圖H地面固定法大樣),"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,"5,7",防水閘門板,ARB-D09031-防水閘板詳圖-防水閘門板,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,"8,10,17",底框詳圖,ARB-D09031-防水閘板詳圖-底框詳圖,"circle_left_title,v4_fallback",是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核；圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,11,未使用中示意圖,ARB-D09031-防水閘板詳圖-未使用中示意圖,circle_left_title,是,圓圈內數字未被 OCR 讀取，使用版面順序補判
ARB-D09031,防水閘板詳圖,14,石材面崁板安裝立面圖,ARB-D09031-防水閘板詳圖-石材面崁板安裝立面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,"15,24",牆面安裝示意圖,ARB-D09031-防水閘板詳圖-牆面安裝示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,16,石材面崁板安裝示意圖,ARB-D09031-防水閘板詳圖-石材面崁板安裝示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,18,置板架立面圖10,ARB-D09031-防水閘板詳圖-置板架立面圖10,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,19,邊框樣之c詳圖,ARB-D09031-防水閘板詳圖-邊框樣之c詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,21,側面詳圖,ARB-D09031-防水閘板詳圖-側面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,22,立面詳圖,ARB-D09031-防水閘板詳圖-立面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,26,邊框大樣之c詳圖,ARB-D09031-防水閘板詳圖-邊框大樣之c詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09031,防水閘板詳圖,27,使用中示意圖,ARB-D09031-防水閘板詳圖-使用中示意圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
