圖紙號碼,圖紙名稱
ARB-D07018,一層輕隔間平面圖(3/8)
ARB-D07019,一層輕隔間平面圖(4/8)
ARB-D07020,一層輕隔間平面圖(5/8)
ARB-D07021,一層輕隔間平面圖(6/8)
ARB-D07022,一層輕隔間平面圖(7/8)
ARB-D07023,一層輕隔間平面圖(8/8)
ARB-D07024,二層輕隔間平面圖(1/8)
ARB-D07025,二層輕隔間平面圖(2/8)
ARB-D07026,二層輕隔間平面圖(3/8)
ARB-D07027,二層輕隔間平面圖(4/8)
ARB-D07028,二層輕隔間平面圖(5/8)
ARB-D07029,二層輕隔間平面圖(6/8)
ARB-D07030,二層輕隔間平面圖(7/8)
ARB-D07031,二層輕隔間平面圖(8/8)
ARB-D07032,三層輕隔間平面圖(1/8)
ARB-D07033,三層輕隔間平面圖(2/8)
ARB-D07034,三層輕隔間平面圖(3/8)
ARB-D07035,三層輕隔間平面圖(4/8)
ARB-D07036,三層輕隔間平面圖(5/8)
ARB-D07037,三層輕隔間平面圖(6/8)
ARB-D07038,三層輕隔間平面圖(7/8)
ARB-D07039,三層輕隔間平面圖(8/8)
ARB-D07040,四層輕隔間平面圖(1/8)
ARB-D07041,四層輕隔間平面圖(2/8)
ARB-D07042,四層輕隔間平面圖(3/8)
ARB-D07043,四層輕隔間平面圖(4/8)
ARB-D07044,四層輕隔間平面圖(5/8)
ARB-D07045,四層輕隔間平面圖(6/8)
ARB-D07046,四層輕隔間平面圖(7/8)
ARB-D07047,四層輕隔間平面圖(8/8)
ARB-D07048,五層輕隔間平面圖(1/8)
ARB-D07049,五層輕隔間平面圖(2/8)
ARB-D07050,五層輕隔間平面圖(3/8)
ARB-D07051,五層輕隔間平面圖(4/8)
ARB-D07052,五層輕隔間平面圖(5/8)
ARB-D07053,五層輕隔間平面圖(6/8)
ARB-D07054,五層輕隔間平面圖(7/8)
ARB-D07055,五層輕隔間平面圖(8/8)
ARB-D07056,屋突一層輕隔間平面圖
ARB-D07057,屋突二層輕隔間平面圖
ARB-D07058,地下一層天花平面圖(1/8)
ARB-D07059,地下一層天花平面圖(2/8)
ARB-D07060,地下一層天花平面圖(3/8)
ARB-D07061,地下一層天花平面圖(4/8)
ARB-D07062,地下一層天花平面圖(5/8)
ARB-D07063,地下一層天花平面圖(6/8)
ARB-D07064,地下一層天花平面圖(7/8)
ARB-D07065,地下一層天花平面圖(8/8)
ARB-D07066,地下一層天花平面圖(1/4)
ARB-D07067,地下一層天花平面圖(2/4)
ARB-D07068,地下一層天花平面圖(3/4)
ARB-D07069,地下一層天花平面圖(4/4)
ARB-D07070,一層天花平面圖(1/8)
ARB-D07071,一層天花平面圖(2/8)
ARB-D07072,一層天花平面圖(3/8)
ARB-D07073,一層天花平面圖(4/8)
ARB-D07074,一層天花平面圖(5/8)
ARB-D07075,一層天花平面圖(6/8)
ARB-D07076,一層天花平面圖(7/8)
ARB-D07077,一層天花平面圖(8/8)
ARB-D07078,二層天花平面圖(1/8)
ARB-D07079,二層天花平面圖(2/8)
ARB-D07080,二層天花平面圖(3/8)
ARB-D07081,二層天花平面圖(4/8)
ARB-D07082,二層天花平面圖(5/8)
ARB-D07083,二層天花平面圖(6/8)
ARB-D07084,二層天花平面圖(7/8)
ARB-D07085,二層天花平面圖(8/8)
ARB-D07086,三層天花平面圖(1/8)
ARB-D07087,三層天花平面圖(2/8)
ARB-D07088,三層天花平面圖(3/8)
ARB-D07089,三層天花平面圖(4/8)
ARB-D07090,三層天花平面圖(5/8)
ARB-D07091,三層天花平面圖(6/8)
ARB-D07092,三層天花平面圖(7/8)
ARB-D07093,三層天花平面圖(8/8)
ARB-D07094,四層天花平面圖(1/8)
ARB-D07095,四層天花平面圖(2/8)
ARB-D07096,四層天花平面圖(3/8)
ARB-D07097,四層天花平面圖(4/8)
ARB-D07098,四層天花平面圖(5/8)
ARB-D07099,四層天花平面圖(6/8)
ARB-D07100,四層天花平面圖(7/8)
ARB-D07101,四層天花平面圖(8/8)
ARB-D07102,五層天花平面圖(1/8)
ARB-D07103,五層天花平面圖(2/8)
ARB-D07104,五層天花平面圖(3/8)
ARB-D07105,五層天花平面圖(4/8)
ARB-D07106,五層天花平面圖(5/8)
ARB-D07107,五層天花平面圖(6/8)
ARB-D07108,五層天花平面圖(7/8)
ARB-D07109,五層天花平面圖(8/8)
ARB-D07110,五層夾層天花平面圖(1/9)
ARB-D07111,五層夾層天花平面圖(2/9)
ARB-D07112,五層夾層天花平面圖(3/9)
ARB-D07113,五層夾層天花平面圖(4/9)
ARB-D07114,五層夾層天花平面圖(5/9)
ARB-D07115,五層夾層天花平面圖(6/9)
ARB-D07116,五層夾層天花平面圖(7/9)
ARB-D07117,五層夾層天花平面圖(8/9)
ARB-D07118,五層夾層天花平面圖(9/9)
ARB-D07119,屋突層天花平面圖
ARB-D07120,梯廳A立面展開圖
ARB-D07121,梯廳B立面展開圖
ARB-D07122,地下一層標誌平面圖(1/8)
ARB-D07123,地下一層標誌平面圖(2/8)
ARB-D07124,地下一層標誌平面圖(3/8)
ARB-D07125,地下一層標誌平面圖(4/8)
ARB-D07126,地下一層標誌平面圖(5/8)
ARB-D07127,地下一層標誌平面圖(6/8)
ARB-D07128,地下一層標誌平面圖(7/8)
ARB-D07129,地下一層標誌平面圖(8/8)
ARB-D07130,地下一層標誌平面圖(1/4)
ARB-D07131,地下一層標誌平面圖(2/4)
ARB-D07132,地下一層標誌平面圖(3/4)
ARB-D07133,地下一層標誌平面圖(4/4)
ARB-D07134,一層標誌平面圖(1/8)
ARB-D07135,一層標誌平面圖(2/8)
ARB-D07136,一層標誌平面圖(3/8)
ARB-D07137,一層標誌平面圖(4/8)
ARB-D07138,一層標誌平面圖(5/8)
ARB-D07139,一層標誌平面圖(6/8)
ARB-D07140,一層標誌平面圖(7/8)
ARB-D07141,一層標誌平面圖(8/8)
ARB-D07142,二層標誌平面圖(1/8)
ARB-D07143,二層標誌平面圖(2/8)
ARB-D07144,二層標誌平面圖(3/8)
ARB-D07145,二層標誌平面圖(4/8)
ARB-D07146,二層標誌平面圖(5/8)
ARB-D07147,二層標誌平面圖(6/8)
ARB-D07148,二層標誌平面圖(7/8)
ARB-D07149,二層標誌平面圖(8/8)
ARB-D07150,三層標誌平面圖(1/8)
ARB-D07151,三層標誌平面圖(2/8)
ARB-D07152,三層標誌平面圖(3/8)
ARB-D07153,三層標誌平面圖(4/8)
ARB-D07154,三層標誌平面圖(5/8)
ARB-D07155,三層標誌平面圖(6/8)
ARB-D07156,三層標誌平面圖(7/8)
ARB-D07157,三層標誌平面圖(8/8)
ARB-D07158,四層標誌平面圖(1/8)
ARB-D07159,四層標誌平面圖(2/8)
ARB-D07160,四層標誌平面圖(3/8)
ARB-D07161,四層標誌平面圖(4/8)
ARB-D07162,四層標誌平面圖(5/8)
ARB-D07163,四層標誌平面圖(6/8)
ARB-D07164,四層標誌平面圖(7/8)
ARB-D07165,四層標誌平面圖(8/8)
ARB-D07166,五層標誌平面圖(1/8)
ARB-D07167,五層標誌平面圖(2/8)
ARB-D07168,五層標誌平面圖(3/8)
ARB-D07169,五層標誌平面圖(4/8)
ARB-D07170,五層標誌平面圖(5/8)
ARB-D07171,五層標誌平面圖(6/8)
ARB-D07172,五層標誌平面圖(7/8)
ARB-D07173,五層標誌平面圖(8/8)
ARB-D07174,屋突層標誌平面圖
ARB-D08001,一層排水平面圖(1/4)
ARB-D08002,一層排水平面圖(2/4)
ARB-D08003,一層排水平面圖(3/4)
ARB-D08004,一層排水平面圖(4/4)
ARB-D08005,二層排水平面圖(1/4)
ARB-D08006,二層排水平面圖(2/4)
ARB-D08007,二層排水平面圖(3/4)
ARB-D08008,二層排水平面圖(4/4)
ARB-D08009,三層排水平面圖(1/4)
ARB-D08010,三層排水平面圖(2/4)
ARB-D08011,三層排水平面圖(3/4)
ARB-D08012,三層排水平面圖(4/4)
ARB-D08013,四層排水平面圖(1/4)
ARB-D08014,四層排水平面圖(2/4)
ARB-D08015,四層排水平面圖(3/4)
ARB-D08016,四層排水平面圖(4/4)
ARB-D08017,五層排水平面圖(1/4)
ARB-D08018,五層排水平面圖(2/4)
ARB-D08019,五層排水平面圖(3/4)
ARB-D08020,五層排水平面圖(4/4)
ARB-D08021,屋突一層排水平面圖(1/4)
ARB-D08022,屋突一層排水平面圖(2/4)
ARB-D08023,屋突一層排水平面圖(3/4)
ARB-D08024,屋突一層排水平面圖(4/4)
ARB-D08025,屋突二層及屋頂層排水平面圖
ARB-D08026,一、三、五層車道剖面圖
ARB-D08027,一、三、五層車道卸貨區剖面詳圖
ARB-D08028,東側車道剖面詳圖
ARS-D09001,金屬障板天花詳圖
ARS-D09002,長條鋁企口天花詳圖
ARS-D09003,明架岩棉天花詳圖
ARS-D09004,暗架矽酸鈣板天花詳圖
ARS-D09005,明架礦纖天花詳圖
ARS-D09006,矽酸鈣板天花詳圖
ARS-D09007,吊裝口蓋板詳圖
ARS-D09008,廁所隔間詳圖
ARS-D09009,洗手台及UT詳圖
ARS-D09010,無障礙廁所詳圖
ARS-D09011,防水閘門詳圖
ARS-D09012,防水閘板詳圖
ARS-D09013,防煙捲簾及捲門詳圖
ARS-D09014,防煙垂壁詳圖
ARS-D09015,輕隔間詳圖(一)
ARS-D09016,輕隔間詳圖(二)
ARS-D09017,輕隔間詳圖(三)
ARS-D09018,屋頂、隔間、窗框防水詳圖
ARS-D09019,玻璃、不鏽鋼扶手及花崗石詳圖
ARS-D09020,樓梯扶手、不鏽鋼爬梯詳圖
ARS-D09021,扶手欄杆詳圖(一)
ARS-D09022,鋁合金高架地板及防颱百葉詳圖
ARS-D09023,陰井、排水溝、淺溝、水箱人孔詳圖
ARS-D09024,側排詳圖
ARS-D09025,防火被覆、門檻詳圖
ARS-D09026,停車場設施詳圖
ARS-D09027,指標系統詳圖(一)
ARS-D09028,指標系統詳圖(二)
ARS-D09029,指標系統詳圖(三)
ARS-D09030,指標系統詳圖(四)
ARS-D09031,玻璃帷幕立面圖
ARS-D09032,玻璃帷幕平剖圖
ARS-D09033,玻璃帷幕詳圖(一)
ARS-D09034,玻璃帷幕詳圖(二)
ARS-D09035,玻璃帷幕詳圖(三)
ARS-D09036,鋼浪板屋頂詳圖
ARS-D09037,排煙蹲座、接水盤詳圖
